index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Aurix,36865,274,00 00 00 00 00 00 00 00 00 00 00 00 01 90 12 01
2,64,Impish Golem,36866,274,00 00 00 00 00 00 00 00 00 00 00 00 02 90 12 01
3,96,Impish Statue,36867,274,00 00 00 00 00 00 00 00 00 00 00 00 03 90 12 01
4,128,Squadron Berserk,36868,274,65 72 00 00 00 00 00 00 00 00 00 00 04 90 12 01
5,160,Squadron Fistfig,36869,274,68 74 65 72 00 00 00 00 00 00 00 00 05 90 12 01
6,192,Squadron Vivifie,36870,274,72 00 00 00 00 00 00 00 00 00 00 00 06 90 12 01
7,224,Squadron's Avata,36871,274,72 00 00 00 00 00 00 00 00 00 00 00 07 90 12 01
8,256,Squadron Arcanom,36872,274,61 6e 63 65 72 00 00 00 00 00 00 00 08 90 12 01
9,288,Impish Statue,36873,274,00 00 00 00 00 00 00 00 00 00 00 00 09 90 12 01
10,320,Squadron Defiler,36874,274,00 00 00 00 00 00 00 00 00 00 00 00 0a 90 12 01
11,352,Squadron Vandal,36875,274,00 00 00 00 00 00 00 00 00 00 00 00 0b 90 12 01
12,384,Squadron Bannere,36876,274,74 00 00 00 00 00 00 00 00 00 00 00 0c 90 12 01
13,416,Squadron's Wyver,36877,274,6e 00 00 00 00 00 00 00 00 00 00 00 0d 90 12 01
14,448,Squadron Animist,36878,274,00 00 00 00 00 00 00 00 00 00 00 00 0e 90 12 01
15,480,Squadron's Crow,36879,274,00 00 00 00 00 00 00 00 00 00 00 00 0f 90 12 01
16,512,Impish Statue,36880,274,00 00 00 00 00 00 00 00 00 00 00 00 10 90 12 01
17,544,Squadron Flautis,36881,274,74 00 00 00 00 00 00 00 00 00 00 00 11 90 12 01
18,576,Squadron Operati,36882,274,76 65 00 00 00 00 00 00 00 00 00 00 12 90 12 01
19,608,Squadron Buccane,36883,274,65 72 00 00 00 00 00 00 00 00 00 00 13 90 12 01
20,640,Squadron Berserk,36884,274,65 72 00 00 00 00 00 00 00 00 00 00 14 90 12 01
21,672,Impish Statue,36885,274,00 00 00 00 00 00 00 00 00 00 00 00 15 90 12 01
22,704,Squadron Fistfig,36886,274,68 74 65 72 00 00 00 00 00 00 00 00 16 90 12 01
