zone_id,zone_name,npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
2,Carpenters' Landing,331,ship,8532,256,1,7492,7540,-1250.42,0.0,727.86,95,-125042,0,72786,-125042 72786 0 2560 32 -2147476480 8388943 1333788700
2,Carpenters' Landing,333,Louverance,8534,256,68,5496,5576,-59.36,-30.0,28.95,90,-5936,-3000,2895,-5936 2895 -3000 13 3000 40 123535 -405042
2,Carpenters' Landing,336,Louverance,8537,256,21,6172,6232,-59.36,-20.0,28.95,105,-5936,-2000,2895,-5936 2895 -2000 60 13 2048 2000 4000
2,Carpenters' Landing,337,Chocobo,8538,256,9,6588,6624,-59.1,2.21,36.08,90,-5910,221,3608,-5910 3608 221 75 -134114304 -1837105153 -2047 -2147469441
4,Bibiki Bay,392,??? Warmachine,16785,256,28,17640,17752,0.32,0.01,40.96,90,32,1,4096,32 4096 1 12 -333712 -766844 -2584 200
4,Bibiki Bay,395,Mame01,16788,256,46,22216,22316,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347668 -951507 -2853 3180
4,Bibiki Bay,396,Mame02,16789,256,31,22856,22952,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347068 -951507 -2853 3180
4,Bibiki Bay,397,Mame03,16790,256,34,23488,23584,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -348268 -951507 -2853 3180
4,Bibiki Bay,403,Novice Moogle,16796,256,125,22804,22952,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347068 -951507 -2853 3180
4,Bibiki Bay,424,Kukki-Chebukki,16818,256,72,42460,42628,-26.41,-30.0,14.65,105,-2641,-3000,1465,-2641 1465 -3000 3000 40 -332654 -947045 -1861
4,Bibiki Bay,425,Cherukiki,16819,256,72,43556,43732,-26.08,-30.0,14.65,105,-2608,-3000,1465,-2608 1465 -3000 3000 40 -333768 -947459 -1910
5,Uleguerand Range,427,Louverance,20926,256,20,8275,8351,0.0,5.12,212.48,100,0,512,21248,0 21248 512 768 28160 -256 1279 1280
11,Oldton Movalpolos,208,???,45277,256,1,17744,17844,-113.59,4.9,79.96,90,-11359,490,7996,-11359 7996 490 13 -208367 -17439 8019 94
11,Oldton Movalpolos,209,Selh'teus,45278,256,6,17772,17844,-113.59,4.9,79.96,90,-11359,490,7996,-11359 7996 490 13 -208367 -17439 8019 94
11,Oldton Movalpolos,210,Louverance,45279,256,32,17972,18044,-464.39,35.09,79.99,90,-46439,3509,7999,-46439 7999 3509 40 -259665 -31628 94 2228224
